Berserk,Manga,Ongoing,Publishing,Aug 25 1989 to ?,Action / Adventure / Demons / Drama / Fantasy / Horror / Supernatural / Military / Psychological / Seinen,Miura Kentarou (Story & Art),Young Animal,9.33,1,4,139571
JoJo's Bizarre Adventure Part 7: Steel Ball Run,Manga,96,Finished,Jan 19 2004 to Apr 19 2011,Action / Adventure / Mystery / Historical / Horror / Shounen / Supernatural,Araki Hirohiko (Story & Art),Ultra Jump,9.21,2,50,54901
Fullmetal Alchemist,Manga,116,Finished,Jul 12 2001 to Sep 11 2010,Action / Adventure / Comedy / Drama / Shounen / Military,Arakawa Hiromu (Story & Art),Shounen Gangan,9.12,3,11,110885
One Piece,Manga,Ongoing,Publishing,Jul 22 1997 to ?,Action / Adventure / Comedy / Fantasy / Shounen / Super,Oda Eiichiro (Story & Art),Shounen Jump (Weekly),9.08,4,2,185560
Monster,Manga,162,Finished,Dec 5 1994 to Dec 20 2001,Mystery / Drama / Psychological / Seinen,Urasawa Naoki (Story & Art),Big Comic Original,9.07,5,39,41412
Vagabond,Manga,327,On Hiatus,Mar 23 1999 to May 21 2015,Action / Adventure / Drama / Historical / Samurai / Seinen,Inoue Takehiko (Story & Art)  Yoshikawa Eiji (Story),Morning,9.05,6,22,46282
Goodnight Punpun,Manga,147,Finished,Mar 15 2007 to Nov 2 2013,Drama / Slice of Life / Psychological / Seinen,Asano Inio (Story & Art),Big Comic Spirits,9.03,7,12,70638
Kingdom,Manga,Ongoing,Publishing,Jan 26 2006 to ?,Action / Drama / Historical / Military / Seinen,Hara Yasuhisa (Story & Art),Young Jump,9.01,8,78,28524
Grand Blue Dreaming,Manga,Ongoing,Publishing,Apr 7 2014 to ?,Comedy / Slice of Life / Seinen,Inoue Kenji (Story)  Yoshioka Kimitake (Art),good! Afternoon,9,9,71,26582
Slam Dunk,Manga,276,Finished,Sep 18 1990 to Jun 4 1996,Comedy / Drama / School / Shounen / Sports,Inoue Takehiko (Story & Art),Shounen Jump (Weekly),8.98,10,89,34574
